binom_name
Capra ibex
Ursus arctos
Rupicapra rupicapra
Aquila chrysaetos
Marmota marmota
Gentiana clusii
Rhododendron hirsutum
Pinus cembra
Pinus halepensis
Pinus brutia
Pinus nigra
Pinus pinaster
Pinus pinea
